age,smoke,dead,population
40-44,1,18,656
45-49,1,22,359
50-54,1,19,249
55-59,1,55,632
60-64,1,117,1067
65-69,1,170,897
70-74,1,179,668
75-79,1,120,361
80+,1,122,274
40-44,2,9,145
45-49,2,10,104
50-54,2,15,98
55-59,2,38,372
60-64,2,113,846
65-69,2,173,949
70-74,2,212,824
75-79,2,243,667
80+,2,253,537
40-44,3,149,4531
45-49,3,169,3030
50-54,3,193,2267
55-59,3,576,4682
60-64,3,1001,6052
65-69,3,901,3880
70-74,3,613,2033
75-79,3,337,871
80+,3,189,345
40-44,4,124,3410
45-49,4,140,2239
50-54,4,187,1851
55-59,4,514,3270
60-64,4,778,3791
65-69,4,689,2421
70-74,4,432,1195
75-79,4,214,436
80+,4,63,113
